"code","name","address","phone","email","contact_name","contact_phone","payment_method_id","departament_id","town_id","prefix_origin","seller_id"
"XCO-192","AUTO REPUESTOS AKI","CALZ ROOSEVELTH 40-80 ZONA 3 COL. COTIO, MIXCO","22093535","","N/A","0","1","1","1","CAP","4"
"CON-193","IDEAS EN PAPEL S,A.","DIAGONAL 6 11-97  ZONA 10 EDIF CENTRO INTERNACIONAL","2311-7100","","N/A","0","2","1","1","CAP","4"
"XCO-194","IMPOAUTO","7 CALLE 27-55 BLV EL NARANJO ZONA 4 DE MIXCO","2211-8471","","N/A","0","1","1","1","CAP","4"
"XCO-195","ALMACEN EL UNICO","18 CALLE 3-19  ZONA 1, GUATEMALA","5966-0990","","N/A","0","1","1","1","CAP","4"
"XCO-196","FRAGANTA","KM 8.5 CARR SALVADOR EDIF LAS VISTAS DE MUXBALIA","4391-5424","","N/A","0","1","1","1","CAP","4"
"CON-197","DADA BABY (ALMACEN EL FESTIVAL)","3AV 19-30 ZONA 1","2230-3361 // 2253-0968","","N/A","0","2","1","1","CAP","4"
"GUA-198","PROYECTO K, S,A.","2 AV  3-53  LOS ALMOS SAN MIGUEL PETAPA","6628-2500","","N/A","0","3","1","1","CAP","4"
"CON-199","PROYECTO K, S,A.","2AV 3-53  LOS ALAMOS, SAN MIGUEL PETAPA","6628-2500","","N/A","0","2","1","1","CAP","4"
"XCO-200","SERINPA","KM 168 CARR A ESQUIPULAS, CHIQUIMULA","5014-0797","","N/A","0","1","1","1","CAP","4"
"XCO-201","FERRETERIA ARREOLA","CALZ JOSE MILLA  Y VIDAURRE 18-40 ZONA 6","2288-0745","","N/A","0","1","1","1","CAP","3"
"CON-202","FERRETERIA ARREOLA","CALZ JOSE MILLA Y VIDAURRE 18-40 ZONA 6","2288-0745","","N/A","0","2","1","1","CAP","3"
"XCO-203","MULTICOMER","23 CALLE 1-35 ZONA 1","2238-4174","","N/A","0","1","1","1","CAP","3"
"CON-204","MULTICOMER","23 CALLE 1-35 ZONA 1","2238-4174","","N/A","0","2","1","1","CAP","3"
"XCO-205","TBC GUATEMALA S,A.","7 CALLE 28-77 ZONA 4 MIXCO EL NARANJO","2308-0500","","N/A","0","1","1","1","CAP","3"
"XCO-6","INVADEN","CALZ SAN JUAN 40-05 ZONA 7 COL NUEVA MONSERRAT","2432-6588","","N/A","0","1","1","1","CAP","4"
"XCO-207","CASA DE LAS TELAS","20 CALLE 3-38  ZONA 1","2250-0851","","N/A","0","1","1","1","CAP","3"
"CON-208","CASA DE LAS TELAS","20 CALLE 3-38 ZONA 1","2250-0851","","N/A","0","2","1","1","CAP","3"
"XCO-209","CENTRACASA","CALZ AGUILAR BATRES 26-19 ZONA 12","2327-9000","","N/A","0","1","1","1","CAP","3"
"CON-210","CENTRACASA","CALZ AGUILAR BATRES 26-19 ZONA 12","2327-9000","","N/A","0","2","1","1","CAP","3"
"XCO-211","IMPORLLANTAS","PARQUE ECO INDUSTRIAL 13 CALLE 3-90 ZONA 7 COL LANDIVAR","2296-6056//2296-6057","","N/A","0","1","1","1","CAP","3"
"CON-212","IMPOR LLANTAS","14AV 0-24 ZONA 2 DE MIXCO","2250-4019","","N/A","0","2","1","1","CAP","3"
"XCO-213","DSITRIBUIDORA TEXTIL LA EXCELENCIA","AV BOLIVAR 23-42 ZONA 1","2210-5651","","N/A","0","1","1","1","CAP","3"
"CON-214","DISTRIBUIDORA TEXTIL LA EXCELENCIA","AV BOLIVAR 23-42 ZONA 1","2210-5651","","N/A","0","2","1","1","CAP","3"
"XCO-215","PACARTA","10AV A 0-79 ZONA 2 BARRIO MODERNO","2290-4141","","N/A","0","1","1","1","CAP","3"
"CON-216","PACARTA","10 AV A 0-79 ZONA 2 BARRIO MODERNO","2490-4141","","N/A","0","2","1","1","CAP","3"
"XCO-217","AUTO PARTS MIZUMO","23 AV INTERCONEXION NARANJO MINERVA 12-90 INTERIOR ZONA 4 DE MIXCO BODEGA 1","2206-3000","","N/A","0","1","1","1","CAP","2"
"CON-218","AUTO PARTS MIZUMO","4 CALLE 23-80 ZONA 14 EMPRESARIAL MULTIBODEGAS","2206-3000","","N/A","0","2","1","1","CAP","2"
"XCO-219","LOMA VISTA DE GUATEMALA  ,S.A","3AV 39-48 ZONA 8, CIUDAD CAPITAL","2471-7387","","N/A","0","1","1","1","CAP","3"
"CON-220","LOMA VISTA DE GUATEMALA S,A.","3AV 39-48 ZONA 8, CIUDAD CAPITAL","2471-7387","","N/A","0","2","1","1","CAP","3"
"XCO-221","IMPRESOS LEOS","5AV 10-87 ZONA 6 MIXCO COL SAN FRANCISCO II","2432-2383","","N/A","0","1","1","1","CAP","3"
"CON-222","IMPRESOS LEOS","5AV 10-87 ZONA 6 MIXCO, COL SAN FRANCISCO II","2432-2383","","N/A","0","2","1","1","CAP","3"
"XCO-223","IMPORTADORA REGIS","6 CALLE 9-33 ZONA 1, GUATEMALA","2220-1693","","VERONICA ESCALANTE","0","1","1","1","CAP","4"
"CON-224","IMPORTADORA REGIS","6 CALLE 9-33 ZONA 1, GUATEMALA","2220-1693","","VERONICA ESCALANTE","0","2","1","1","CAP","4"
"XCO-225","GRUPO COMERCIAL DIFER S,A.","MANZ E SEC 4 LOTE 1 ZONA 4 JARDINES DE TULAM ZU, MIXCO","2429-4100","","N/A","0","1","1","1","CAP","3"
"CON-226","GRUPO COMERCIAL DIFER S,A.","MANZ E SEC 4 LOTE 1 ZONA 4 JARDINES DE TULAM ZU, MIXCO","2429-4100","","N/A","0","2","1","1","CAP","3"
"XCO-227","CORPORACION QUIMICA DEL ISTMO","13AV 7-41 ZONA 12","2471-3485","","N/A","0","1","1","1","CAP","3"
"CON-228","CORPORACION QUIMICA DEL ISTMO","13AV 7-41 ZONA 12","2471-3485","","N/A","0","2","1","1","CAP","3"
"XCO-229","INQUIVET","5AV C 3-75  ZONA 12 COL GUAJITOS","2477-4326","","N/A","0","1","1","1","CAP","3"
"CON-230","INQUIVET","5AV C 3-75  ZONA 12 COL GUAJITOS","2477-4326","","N/A","0","2","1","1","CAP","3"
"XCO-231","AUTOPRO","29  CALLE 5-90  ZONA 12 COL EL CARMEN","2243-1700","","N/A","0","1","1","1","CAP","3"
"CON-232","AUTOPRO","29 CALLE 5-90 ZONA 12 COL EL CARMEN","2243-1700","","N/A","0","2","1","1","CAP","3"
"XCO-233","LLANTERA SANTA CRUZ","CALZ SAN JUAN 6-43 COL LA BRIGADA ZONA 7 MIXCO","2432-7869","","N/A","0","1","1","1","CAP","3"
"CON-234","LLANTERA SANTA CRUZ","CALZ SANJUAN 6-43 COL LA BRIGADA ZONA 7 MIXCO","2432-7869","","N/A","0","2","1","1","CAP","3"
"XCO-235","ARLLANSA","AV BOLIVAR 30-10 ZONA 3","2506-3232","","N/A","0","1","1","1","CAP","3"
"CON-236","ARLLANSA","AV BOLIVAR 30-10 ZONA 3","2506-3232","","N/A","0","2","1","1","CAP","3"
"XCO-237","FABRICA DE ACUMULADORES VOLTA","CALZ ROOSEVELTH 11-19  ZONA 11","2472-3070","","N/A","0","1","1","1","CAP","3"
"CON-238","FABRICA DE ACUMULADORES VOLTA","CALZ ROOSEVELTH 11-19 ZONA 11","2472-3070","","N/A","0","2","1","1","CAP","3"
"XCO-239","LLAMASA","15 CALLE 8-01 ZONA 12","2329-4949","","N/A","0","1","1","1","CAP","3"
"CON-240","LLAMASA","15 CALLE 8-01 ZONA 12","2329-4949","","N/A","0","2","1","1","CAP","3"
"XCO-241","MIZPA S,A.","CALZ ROOSEVELTH KM 14 6-38 ZONA 2 COL EL TESORO MIXCO","2383-2000","","N/A","0","1","1","1","CAP","3"
"CON-242","MIZPA S,A.","CALZ ROOSEVELTH KM 14 6-38  ZONA 2 COL EL TESORO MIXCO","2383-2000","","N/A","0","2","1","1","CAP","3"
"XCO-243","DISINSA","7AV 19 CALLE ESQUINA 18-66 ZONA 12","2472-7400","","N/A","0","1","1","1","CAP","3"
"CON-244","DISINSA","7 AV 19 CALLE ESQUINA 18-66  ZONA 12","2472-7400","","N/A","0","2","1","1","CAP","3"
"XCO-245","ACQUARONI","7AV 1-54  ZONA 4","2324-6565","","N/A","0","1","1","1","CAP","3"
"CON-246","ACQUARONI","7AV 1-54 ZONA 4","2324-6565","","N/A","0","2","1","1","CAP","3"
"XCO-247","COMERCIAL CANTON ,S.A","4AV 18-30  ZONA 1","2493-2323","","N/A","0","1","1","1","CAP","3"
"CON-248","COMERCIAL CANTON S,A.","4AV 18-30 ZONA 1","2493-2323","","N/A","0","2","1","1","CAP","3"
"GUA-249","IMPORTADORA Y EXPORTADORA SANTA RITA S,A.","CIUDAD","0","","N/A","0","3","1","1","CAP","4"
"XCO-250","MOTO STORE","JUTIAPA, JUTIAPA","5000-2743","","N/A","0","1","1","1","CAP","3"
"XCO-251","VASTAGO IMPORTACIONES","26 CALLE 7-23 ZONA 11 OFIBODEGAS SAN LUIS BOD 11","2442-1202 // 5943-4230","","N/A","0","1","1","1","CAP","4"
"XCO-252","REEGALOS Y MENSAJES S,A.","3 CALLE 17-31  ZONA 8 SAN CRISTOBAL, MIXCO","2389-8400// 23898401","","N/A","0","1","1","1","CAP","4"
"XCO-253","IMPORTADORA NORTE","CALZ AGUILAR BATRES 42-00  ZONA 11","2477-2400","","N/A","0","1","1","1","CAP","1"
"XCO-254","IMPORTADORA UNO  S,A.","CALZ ROOSEVELTH 32-61 ZONA 11","5939-6838 // 5939-6600","","N/A","0","1","1","1","CAP","4"
"XCO-255","ZOMI STORE // SARAI DE LEON","CIUDAD","4749-2681","","N/A","0","1","1","1","CAP","4"
"XCO-256","VIOLET"" ROPA ACCESORIOS Y MAS // WENDY MAYORGA","CALLE PRINCIPAL  ALDEA LA ERMITA CONCEPCION LAS MINAS, CHIQUIMULA","3267-8209","","N/A","0","1","1","1","CAP","4"
"CON-257","KARYN LEONARDO  (BIOLAND)","6A AVENIDA 11-62 ZONA 3","55113323","","N/A","0","2","1","1","CAP","4"
"CON-257","KARYN LEONARDO (BIOLAND)","6A. AVENIDA 11-62 ZONA 3","55113323","","N/A","0","2","1","1","CAP","4"
"CON-258","REPRESENTACIONES EUROPEAS DE CENTROMERICA","30AV 15-15  ZONA 12, COL MILLER ROCK","2304-3800","","N/A","0","2","1","1","CAP","4"
"XCO-259","EL AGUILA IMPORTACIONES","50 CALLE 17-74 ZONA 12","2476-0415//2477-5927","","N/A","0","1","1","1","CAP","4"
"XCO-261","ALFA EDICIONES","6 CALLE 4-27 ZONA 1, GUATEMALA","3230-0378","","N/A","0","1","1","1","CAP","4"
"CON-262","ALFA EDICIONES","6 CALLE 4-27 ZONA 1","2230-0378","","N/A","0","2","1","1","CAP","4"
"XCO-263","ARTEMIS EDINTER","13AV 15-26 ZONA 10","2419-9191","","N/A","0","1","1","1","CAP","4"
"XCO-264","IBERICA IMPORT S,A.","35AV 8-95 ZONA 7 COL EL RODEO","2441-7412// 2425-0154","","N/A","0","1","1","1","CAP","4"
"XCO-265","DIMPACSA","AV FERROCARRIL CORTIJO EMPRESARIAL 1 BOD 216 ZONA 12","2473-0352","","N/A","0","1","1","1","CAP","4"
"PRE-266","DISTRIMEDH","4 CALLE A 3-04 ZONA 2 MIXCO, COL EL MOLINO DE LAS FLORES","5400-1011","","N/A","0","4","1","1","CAP","4"
"XCO-268","MOTOREPUESTOS GP, P.A.,S.A.","5A. AVE. 3-55 ZONA 9","4177-4191","","SOFIA ALVARENGA","0","1","1","1","CAP","4"
"GUA-269","MOTOREPUESTOS GP, P.A.,S.A.","5A. AVE. 3-55 ZONA 9","4177-4191","","SOFIA ALVARENGA","0","3","1","1","CAP","4"
"CON-270","CINCUENTA CINCUENTA","12AV 3-16 ZONA 2 BARRIO MODERNO","22603392","","N/A","0","2","1","1","CAP","4"
"XCO-271","QUIMICOS DE ORIENTE","5 CALLE  5-60  ZONA 1 BO SAN JOAQUIN, ESQUIPULAS CHIQUIMULA","4082-2465","","N/A","0","1","1","1","CAP","4"
"CON-272","QUIMICOS DE ORIENTE","5 CALLE 5-60  ZONA 1 BO SAN JOAQUIN, ESQUIPULAS, CHIQUIMULA","4082-2465","","N/A","0","2","1","1","CAP","4"
"XCO-273","CREACIONES MARIANNE","22AV  13-51  ZONA 7 KAMINAL JUYU 2. GUATEMALA","32882944","","N/A","0","1","1","1","CAP","4"
"XCO-274","FABRICA FELICIDADES","12 CALLE  10-57  ZONA 17 COL COVITIGS, CIUDAD","2308-3289","","N/A","0","1","1","1","CAP","4"
"PRE-275","CAROL MARIN","7AV 5-78  ZONA 1 , CHIQUIMULA","4150-3970","","N/A","0","4","1","1","CAP","4"
"GUA-276","EDITORIAL Y LIBRERIA PIEDRA SANTA","5 CALLE 7-55  ZONA 1","2422-7676","","N/A","0","3","1","1","CAP","4"
"GUA-277","ALFA EDICIONES, S,A.","6 CALLE 4-27  ZONA 1, CIUDAD","5923-5417","","N/A","0","3","1","1","CAP","4"
"XCO-278","SAR""S BSS","13AV  13-37  ZONA 18 RESIDENCIALES ATLANTIDA ZONA 18","2256-1629","","N/A","0","1","1","1","CAP","4"
"CON-279","CAROL MARIN","7AV 5-78  ZONA 1, CHIQUIMULA","4150-3970","","N/A","0","2","1","1","CAP","4"
"CON-280","EDICIONES INTERNACIONALES S,A.","2 CALLE 31-25  ZONA 7 COL UTATLAN 1, CIUDAD","2433-9863","","N/A","0","2","1","1","CAP","4"
"XCO-281","COMERCIALIZADORA LA DIVINA COSTURA ,S.A","9AV 8-62  ZONA 1, CIUDAD","4742-4839","","N/A","0","1","1","1","CAP","4"
"GUA-282","EDICIONES INTERAMERICANAS S,A.","2 CALLE  31-25  ZONA 7 COL. UTLATAN 1, CIUDAD","2433-9863","","N/A","0","3","1","1","CAP","4"
"XCO-283","PACOL","CALZADA SAN JUAN 21-61 ZONA 7","5494-0752","","N/A","0","1","1","1","CAP","1"
"CON-284","CIRCULO DE INVERSIONES","15AV  11-24  ZONA 10","0","","N/A","0","2","1","1","CAP","4"
"XCO-285","INNOVATI S,A. / MULTIMUEBLE","CALZ SAN JUAN 21-31  ZONA 7, CIUDAD","2474-1757","","N/A","0","1","1","1","CAP","4"
"XCO-286","IMPORTACIONES GALA UNO","18 CALLE 8-40 ZONA 1, CIUDAD","2220-6860","","N/A","0","1","1","1","CAP","4"
"XCO-287","IMPORTACIONES GALA DOS","18 CALLE 8-20  ZONA 1, CIUDAD","0","","N/A","0","1","1","1","CAP","4"
"PRE-288","FERNANDA HOFFENS","QUETZALTENANGO, QUETZALTENANGO","0","","N/A","0","4","1","1","CAP","4"
"XCO-289","MAGIC FASHION","12 CALLE B 36-25  ZONA 5 JARDINES DE LA ASUNCION, CIUDAD","4729-0336","","N/A","0","1","1","1","CAP","4"
"GUA-290","CORPORACION PLUS ,S.A","17AV D 0-70  ZONA 15 COL EL MAESTRO, CIUDAD","2365-8761","","N/A","0","3","1","1","CAP","4"
"XCO-291","JOSE OSMAN YES REYES","8AV 5-77  ZONA 1 BARRIO LATINO, JUTIAPA","7844-3680","","N/A","0","1","1","1","CAP","4"
"CON-292","MILENIUM","32 CALLE 4-72  ZONA 3, CIUDAD","2445-4422","","N/A","0","2","1","1","CAP","4"
"XCO-293","BENJAMIN BARILLAS","CALZ AGUILAR BATRES 48-95 ZONA 12","5200-1705 // 3379-9485","","N/A","0","1","1","1","CAP","4"
"XCO-294","LIBRERIA E IMPRENTA VIVIAN","9 CALLE 12-37  ZONA 1","2251-0575","","N/A","0","1","1","1","CAP","4"
"GUA-295","IADPA LIBRERIA GUATEMALA S,A.","2 CALLE 31-25 ZONA 7 COL UTATLAN 1, CIUDAD","0","","N/A","0","3","1","1","CAP","4"
"XCO-296","BK FASHION","LOCAL 25 PLAZA SANTA FE ESQUIPULAS, CHIQUIMULA","4069-3234","","N/A","0","1","1","1","CAP","4"
"CON-297","BK FASHION","LOCAL 25 PLAZA SANTA FE ESQUIPULAS, CHIQUIMULA","4069-3234","","N/A","0","2","1","1","CAP","4"
"XCO-298","VARIEDADES MANELIK","22 CALLE H 33-17 ZONA 7. CIUDAD","5519-5665","","N/A","0","1","1","1","CAP","4"
"XCO-299","CORPORACION PLUS","17AV D 0-70  ZONA 15 COL EL MAESTRO,CIUDAD","2365-8761","","N/A","0","1","1","1","CAP","4"
"PRE-300","EDICIONES SAN PABLO","33AV A 10-55  ZONA 7 COL TIKAL II, CIUDAD","2438-3151","","N/A","0","4","1","1","CAP","4"
"XCO-301","VENTAS Y NEGOCIOS WENDOLI","6AV 25-63  ZONA 12 COL LA REFORMITA, CIUDAD","2476-4431","","N/A","0","1","1","1","CAP","4"
"CON-302","VENTAS Y NEGOCIOS WENDOLI","6AV 25-63  ZONA 12 COL REFORMITA, CIUDAD","2476-4431","","N/A","0","2","1","1","CAP","4"
"CON-303","EDITORIAL ATENEA","2 CALLE 17-55 SECTOR B1 ZONA 8 SAN CRISTËBA","5987-2721","","N/A","0","2","1","1","CAP","3"
"XCO-304","MULTISISTEMAS TV","1A. AVENIDA 4-13 ZONA 9","2362-5810// 2362-2857","","AMANDA MORALES","0","1","1","1","CAP","4"
"XCO-305","SIEBOLD AUTO REPUESTOS","7AV 2-30 ZONA 4, CIUDAD","2285-9999","","N/A","0","1","1","1","CAP","4"
"CON-306","INCOGUA S,A.","CAR AL ATLANTICO KM 7 INT BODEGA  4","4220-8361","","N/A","0","2","1","1","CAP","4"
"CON-307","SERVITECNOLOGIA S.A.","4 CALE 18-51  ZONA 4 DE MIXCO COL MONTE REAL  2","2432-0507","","N/A","0","2","1","1","CAP","4"
"XCO-308","SERVITECNOLOGIA S,A.","4CALLE 18-51  ZONA 4 MIXCO, COL MONTE REAL 2","2432-0507","","N/A","0","1","1","1","CAP","4"
"XCO-309","DROGUERIA LATINOAMERICANA","5AV 1-40  ZONA 3 SANTIAGO SACATEPEQUEZ,  ANTIGUA","7961-2900","","N/A","0","1","1","1","CAP","4"
"XCO-310","COMCAST","AVENIDA HICAPI╔ 28-45 ZONA 13","2309-7221","","N/A","0","1","1","1","CAP","2"
"CON-311","COMCAST","AVENIDA HICAPI╔ 28-45 ZONA 13","2309-7221","","N/A","0","2","1","1","CAP","2"
"GUA-312","CALVO DISTRIBUCION GUATEMALA RL.","KM 16.5 CARRETERA A SAN JOSE PINULA OFIBODEGAS  SAN JOSE BODEGA 17","2366-3177","","N/A","0","3","1","1","CAP","4"
"XCO-313","QUIMIPROVA S.A.","6AV 22-35 ZONA 12","2226-4300","","N/A","0","1","1","1","CAP","4"
"CON-314","QUIMIPROVA S.A.","6AV 22-35 ZONA 12","2226-4300","","N/A","0","2","1","1","CAP","4"
"XCO-315","MUEBLES Y PROYECTOS LAS FLORES","BARRIO LAS FLORES GUALAN, ZACAPA","4218-1829","","N/A","0","1","1","1","CAP","4"
"GUA-317","IMPCA","3 CALLE F SEC B7 14-42 VISTA AL VALLE SAN CRISTOBAL 2 MIXCO","2259-7573","","N/A","0","3","1","1","CAP","4"
"XCO-316","DISTRIBUIDORA DAKO","KM 19.5 CARR SANJOSE PINULA LOTIF SANTA LUZ CASA 19","5043-9992","","N/A","0","1","1","1","CAP","4"
"CON-318","DISTRIBUIDORA DAKO","KM 19.5 CARR SANJOSE PINULA LOTIF SANTA CLUZ CASA 19","5043-9992","","N/A","0","2","1","1","CAP","4"
"XCO-319","FERNANDA BARQUIN","KM  19.5 CARR A PAVON CASA 144 JARDINES DE ARRAZOLA","4770-0640","","N/A","0","1","1","1","CAP","4"
"XCO-320","AZTECA GT","7AV 16-545 VALLE DORADO SAN CRISTOBAL ZONA 8 MIXCO","4536-3305","","N/A","0","1","1","1","CAP","4"
"XCO-321","EDICIONES SAN PABLO, S.A.","33AV A 10-55  ZONA 7 COL TIKAL 2","2438-3149// 2438-3151","","N/A","0","1","1","1","CAP","4"
"XCO-322","AUDIO CENTER","ANILLO PERIFERICO 18-37  ZONA 11","2498-7500","","N/A","0","1","1","1","CAP","4"
"CON-323","AROMAS CREATIVOS S,A.","35AV 1-29  ZONA 11 COL TOLEDO","5463-4695","","N/A","0","2","1","1","CAP","4"
"XCO-324","KIUT","17 CALLE  6-30  ZONA 1, CIUDAD CAPITAL","2232-8712","","N/A","0","1","1","1","CAP","4"
"XCO-325","CRISTEL MILAGRO GUERRA GARZA","5 CALLE 7-96  ZONA 1 BO SAN JOAQUIN, ESQUIPULAS, CHIQUIMULA","5017-4468","","N/A","0","1","1","1","CAP","4"
"CON-326","KAT SIM IMPORTACIONES","5AV 1-44 ZONA 3 EL PROGRESO JUTIAPA","4245-9533","","N/A","0","2","1","1","CAP","3"
"CON-327","CREACIONES KAT SIM","5AV 1-44  ZONA 3 EL PROGRESO JUTIAPA","5818-7437","","N/A","0","2","1","1","CAP","3"
"CON-328","ANIBAL AGUILAR","2AV 3-43 VALLE DE LAS MARIPOSAS AMATITLAN.GUATEMALA","5961-6897","","N/A","0","2","1","1","CAP","4"
"XCO-329","RAPIENVIO","19 CALLE 17-76 ZONA 10","4560-6159","","N/A","0","1","1","1","CAP","4"
"CON-330","ALT S,A.","DIAGONAL 6 10-50  ZONA 10 EDIF INTERAMERICA TORRE NORTE  6 NIVEL OFIC 604","2336-7329","","N/A","0","2","1","1","CAP","4"
"XCO-331","EDY GUZMAN //INVERSIONES PABAN","LAGUNA BERMEJA LOTE 102 D SANTA CATARINA PINULA, GUATEMALA","5783-4120","","N/A","0","1","1","1","CAP","4"
"CON-332","EDY GUZMAN // INVERSIONES PABAN","LAGUNA BERMEJA LOTE 102 D SANTA CATARINA PINULA, GUATEMALA","5783-4120","","N/A","0","2","1","1","CAP","4"
"XCO-252","REGALOS Y MENSAJES S,A.","3 CALLE 17-31  ZONA 8 SAN CRISTOBAL, MIXCO","2389-8400// 23898401","","N/A","0","1","1","1","CAP","4"
"XCO-333","REA","CALZ ROOSEVELTH 13-10  ZONA 2 DE MIXCO","2250-6696 // 2250-6901","","N/A","0","1","1","1","CAP","4"
"XCO-334","CASPE INTERNACIONAL, S.A.","6 AVENIDA 1-67 ZONA 2 DE MIXCO COL. EL TESERO MIXCO","2250-3473","","N/A","0","1","1","1","CAP","4"
"XCO-335","CKAM","2 CALLE 4AV COL LAS FLORES ZONA 4 CHIQUIMULA","7740-4690","","N/A","0","1","1","1","CAP","4"
"CON-336","CKAM","2 CALLE 4AV COL LAS FLORES ZONA 4 CHIQUIMULA","7740-4690","","N/A","0","2","1","1","CAP","4"
"XCO-337","RODAMIENTOS DE CENTROAMERICA","6AV 1-12  ZONA 2 COL EL TESORO MIXCO. GUATEMALA","2250-3060","","N/A","0","1","1","1","CAP","4"
"CON-338","EQUISUM","8AV APTO B COL EL TESORO ZONA 2 DE MIXCO, CIUDAD","2293-4830","","N/A","0","2","1","1","CAP","4"
"XCO-339","WILLIAN FERNANDO MORALES RIVERA/YANSI BONILLA","5CALLE ZONA 1 CHIQUIMULA","0","","N/A","0","1","1","1","CAP","4"
"XCO-340","CREACIONES DANIKA","10 CALLE 4-46  ZONA 4 CHIQUIMULA","7942-1218","","N/A","0","1","1","1","CAP","4"
"CON-341","CREACIONES DANIKA","10 CALLE  4-46 ZONA 4 CHIQUIMULA","7942-1218","","N/A","0","2","1","1","CAP","4"
"XCO-342","FASHION PRINCESS EM","CHIQUIMULA","7942-6170","","N/A","0","1","1","1","CAP","4"
"XCO-343","REFRIREPUESTOS SG","CALLE REAL 1 CALLE 2-96  ZONA 5 VILLA NUEVA, GUATEMALA","6649-2605","","N/A","0","1","1","1","CAP","4"
"XCO-344","AMANDA VELASQUEZ","4 CALLE ZONA 1 TECULUTAN, ZACAPA","5468-8490","","N/A","0","1","1","1","CAP","4"
"XCO-345","DECOTRIMS","9 AV 8-62  ZONA 1, CIUDAD","4742-4939","","N/A","0","1","1","1","CAP","4"
"XCO-346","COSITAS BONITAS","BO EL CENTRO GUALAN, ZACAPA","5818-6795","","N/A","0","1","1","1","CAP","4"
"XCO-347","ALICIA MORALES","5CALLE ZONA 1 CHIQUIMULA","5595-9250","","N/A","0","1","1","1","CAP","4"
"XCO-348","IMPRENTA EL MILAGRO / INDUSTRIA GRAFICA EL MILAGRO","3 CALLE 17-44  ZONA 3 BO LAS FLORES, ZACAPA","7941-2248","","N/A","0","1","1","1","CAP","4"
"XCO-349","CARLOS URRUTIA / MODATELA","12AV ZONA 1 BO EL CENTRO CALLEJON DEL COMERCIO, ZACAPA","4788-8240","","N/A","0","1","1","1","CAP","4"
"CON-350","CHI SHING LEE//ARRENDAMIENTO LEE /ARRENDAMIENTOS SUN CHU / NG LAM DE LEE","13AV  6-11 ZONA 1, ZACAPA","5310-50-30","","N/A","0","2","1","1","CAP","4"
"CON-351","CHI SHING LEE // LEE MOTORS","5 CALLE 12-36  ZONA 1, ZACAPA","5310-5030","","N/A","0","2","1","1","CAP","4"
"XCO-352","ALBA RIVERA","18 CALLE 6-15 ZONA 10. CIUDAD","4150-7507","","N/A","0","1","1","1","CAP","4"
"CON-353","DISFARMACOS S,A.","5 CALLE 34-30  ZONA 11 COL UTATLAN 2, CIUDAD","2439-3463","","N/A","0","2","1","1","CAP","4"
"XCO-354","DISFARMACOS S,A.","5 CALLE  34-30  ZONA 11 COL UTATLAN 2, CIUDAD","2439-3463","","N/A","0","1","1","1","CAP","4"
"XCO-355","VENTAS Y SERVICIOS INDUSTRIALES ACOR S,A.","30AV 4-70  ZONA 7 KAMINAL JUYU 1, CIUDAD","2474-3536","","N/A","0","1","1","1","CAP","4"
"CON-356","VENTAS Y SERVICIOS INDUSTRIALES ACOR S,A.","30AV  4-70  ZONA 7 COL KAMINAL JUYU 1, CIUDAD","2474-3536","","N/A","0","2","1","1","CAP","4"
"XCO-358","MAYRA LILIA OVALLE DE LEON","COATEPEQUE, QUETZALTENANGO","4241-2624","","N/A","0","1","1","1","CAP","3"
"XCO-357","MYNOR GEOVANY REYES GUEVARA","COATEPEQUE , QUETZALTENANGO","5860-8204","","N/A","0","1","1","1","CAP","3"
"XCO-359","TAPADERAS ONLINE","CIUDAD CAPITAL","4205-2688","","N/A","0","1","1","1","CAP","4"
"XCO-360","IMPORTADORA PINTO // DIEGO ARMANDO PINTO","KM  149.8 SANTA ROSALIA, ZACAPA","5119-2221","","N/A","0","1","1","1","CAP","4"
"XCO-361","LLANTRAK ,S.A","7AV 29-02 ZONA 8","2471-2068","","N/A","0","1","1","1","CAP","4"
"GUA-362","CODIGUA PL, S,A.","11AV  11-31  ZONA 2 COL CIUDAD NUEVA","2254-9226","","N/A","0","3","1","1","CAP","4"
"XCO-363","DISTRIBUIDORA ANDREA DE GUATEMALA","3 CALLE LOTE 14 LOTIF VISTA AZUL MAZATENANGO","5699-5211","","N/A","0","1","1","1","CAP","4"
"XCO-364","LABORATORIIO LA SANA","AV ELENA 12-62 ZONA 3","2292-1702","","N/A","0","1","1","1","CAP","4"
"XCO-365","ANTONIO DOMINGUEZ","KM  145 COL PRADOS DE ORIENTE ZACAPA","5392-1412","","N/A","0","1","1","1","CAP","4"
"XCO-366","DROGUERIA EXCEL","5AV 16-62 ZONA 10 EDIF PLATINA 3ER NIVEL OFI 301","0","","N/A","0","1","1","1","CAP","4"
"CON-367","DROGUERIA EXCEL","5AV 16-62  ZONA 10 EDIF PLATINA 3ER NIVEL OFI 301","0","","N/A","0","2","1","1","CAP","4"
"XCO-368","CONSTRUPARTES","22AV 10-02  ZONA 7 COLKAMINAL JUYU 1 ZONA 7","5348-6522","","N/A","0","1","1","1","CAP","4"
"XCO-369","ITALIKA","KM  29.5 CARR AL PACIFICO AMATITLAN","2306-7500","","N/A","0","1","1","1","CAP","4"
"CON-370","PROSERDI","6AV 2-134 CANTON AGUA TIBIA, PALENCIA","5538-4917","","N/A","0","2","1","1","CAP","4"
"XCO-371","REINA STORE","CIUDAD","3017-6121","","N/A","0","1","1","1","CAP","4"
